id,username,password,firstname,lastname,email,major
241,GlynnisEiser,h#g4r%&)MRK)0,Glynnis,Eiser,Glynnis.Eiser@ucmerced.edu,cognitive science
242,Zsa ZsaHaldas,nme%5kw+6D*X,Zsa Zsa,Haldas,Zsa Zsa.Haldas@ucmerced.edu,environmental systems science
243,JenileeSawtelle,uMYrqqORt4f,Jenilee,Sawtelle,Jenilee.Sawtelle@ucmerced.edu,psychology
244,HeddieTorray,KNtb$-)U9H!L,Heddie,Torray,Heddie.Torray@ucmerced.edu,english
245,JillayneCiro,#=^0iEOhq-,Jillayne,Ciro,Jillayne.Ciro@ucmerced.edu,computer science and engineering
246,DaphneClywd,zb@GfEsfTFQm,Daphne,Clywd,Daphne.Clywd@ucmerced.edu,public health
247,MarlineWareing,oZ)c4*Yv2,Marline,Wareing,Marline.Wareing@ucmerced.edu,history
248,ElenaLindemann,gSLYQY&E,Elena,Lindemann,Elena.Lindemann@ucmerced.edu,chemical sciences
249,BettineCarlson,sQ_)#ZqSaU!u,Bettine,Carlson,Bettine.Carlson@ucmerced.edu,history
250,AgneseChaing,DQciyIdw8%rf#d4,Agnese,Chaing,Agnese.Chaing@ucmerced.edu,computer science and engineering
251,ShelVorster,KaCpbW#uy8U,Shel,Vorster,Shel.Vorster@ucmerced.edu,chemical sciences
252,MolliErminia,-RiuPC_9bx2,Molli,Erminia,Molli.Erminia@ucmerced.edu,bioengineering
253,LarineMerna,$!XoT=Mc2LEtQa)V,Larine,Merna,Larine.Merna@ucmerced.edu,mechanical engineering
254,CamileSacken,Y2R4VFbg^89#V(+Z,Camile,Sacken,Camile.Sacken@ucmerced.edu,environmental systems science
255,HyacintheEdee,YqX!wF!RJsA,Hyacinthe,Edee,Hyacinthe.Edee@ucmerced.edu,philosophy
256,JoaneWooster,23SP$6=V#2dC,Joane,Wooster,Joane.Wooster@ucmerced.edu,biological sciences
