id,username,password,firstname,lastname,email,major
219,FeliceFillbert,eWq_1Y253 J#3D2s7)Df7ErsMIx,Felice,Fillbert,FeliceFillbert@ucmerced.edu,critical race and ethnic studies
220,AigneisMullane,Qw*4M K5,Aigneis,Mullane,AigneisMullane@ucmerced.edu,public health
221,GustyFederica,l ^+AwK4X#Iv#jc,Gusty,Federica,GustyFederica@ucmerced.edu,spanish
222,VonnyPodvin,uTmm*7Own(!KPozyP+WNhUK8Z,Vonny,Podvin,VonnyPodvin@ucmerced.edu,bioengineering
223,GenoveraTippets,dN!#F%o VUtgoNcsaQ8WmU-#@W,Genovera,Tippets,GenoveraTippets@ucmerced.edu,spanish
224,Sara-AnnDelacourt,h-HgNxqj#Gd0S@DN0pvND(,Sara-Ann,Delacourt,Sara-AnnDelacourt@ucmerced.edu,civil engineering
225,HelenaPeonir,b4dE9Cz!C4PZDcN)rH,Helena,Peonir,HelenaPeonir@ucmerced.edu,critical race and ethnic studies
226,PearlineThunell,+#*PPEe&yHyrji=6R7Y5nKe$U9,Pearline,Thunell,PearlineThunell@ucmerced.edu,history
227,CharmaineMata,KmLF8k*_TFmI,Charmaine,Mata,CharmaineMata@ucmerced.edu,anthropology
228,BritniAshok,0mM(5O@ry0QAF kE#^FDca9 t,Britni,Ashok,BritniAshok@ucmerced.edu,sociology
229,TamiEno,W0gSknA*DY$r%5)M$eS!C,Tami,Eno,TamiEno@ucmerced.edu,applied mathematical sciences
230,ZariaThunell,vB$UP7O)-%zNJ,Zaria,Thunell,ZariaThunell@ucmerced.edu,materials sciences and engineering
231,MadalynShirberg," -GZe2 a",Madalyn,Shirberg,MadalynShirberg@ucmerced.edu,applied mathematical sciences
232,SeliaIaverne,5JhP^ nrJ-2i,Selia,Iaverne,SeliaIaverne@ucmerced.edu,applied mathematical sciences
233,CorinaToni,!Y)n=T!m xqU,Corina,Toni,CorinaToni@ucmerced.edu,global arts studies program
234,MaiseyHarned," mrnAcQC 0OS8+dSLcR%HM)E jNgj",Maisey,Harned,MaiseyHarned@ucmerced.edu,computer science and engineering
235,VevayFairweather,R@DXy3fo@StR#PB(!rg5Y,Vevay,Fairweather,VevayFairweather@ucmerced.edu,civil engineering
236,LyneaMartsen,!pad5KB$rXaZFG WJC- 1Q8bdId)qP,Lynea,Martsen,LyneaMartsen@ucmerced.edu,management and business economics
237,ArlenaErlandson,"1nkjUZ2hjoO^AAw8WJ !loBAn ",Arlena,Erlandson,ArlenaErlandson@ucmerced.edu,history
238,DennieFranza,+y!HCxj0yYh4NC#^K^Q,Dennie,Franza,DennieFranza@ucmerced.edu,english
239,PhedraBennie,mUGV=&GVJcmz,Phedra,Bennie,PhedraBennie@ucmerced.edu,cognitive science
240,MaritaNeva,MpF6 Os R,Marita,Neva,MaritaNeva@ucmerced.edu,political science
241,BeeVittoria,b&YosYS1CK3R)%VFD,Bee,Vittoria,BeeVittoria@ucmerced.edu,biological sciences
242,AbbieRadu," 7-DaEw5r",Abbie,Radu,AbbieRadu@ucmerced.edu,spanish
243,KylynnJustinn,rnyfSLIRt5vS=)HCG83-r5z,Kylynn,Justinn,KylynnJustinn@ucmerced.edu,english
244,BriannaMacey,X JqP670 HydN um!tyY_dRq+,Brianna,Macey,BriannaMacey@ucmerced.edu,english
245,DarlleenElbertina,dogKEVEGBl0BhIL (KCA,Darlleen,Elbertina,DarlleenElbertina@ucmerced.edu,biological sciences
246,VivieneThornburg,k9#zKKH HRVqQO f,Viviene,Thornburg,VivieneThornburg@ucmerced.edu,biological sciences
247,KasseyIvens," 1P&NBRj79(dCy69l3nwmN",Kassey,Ivens,KasseyIvens@ucmerced.edu,public health
248,MelinaKrystle,+$lY0)hyu*cHgZNJdksiO,Melina,Krystle,MelinaKrystle@ucmerced.edu,global arts studies program
249,CarilynJarib,d HQV1Q^M3Nf=zqzwuv,Carilyn,Jarib,CarilynJarib@ucmerced.edu,psychology
250,MerrieDelp,9fGPqs$2S-61Y+kIjI8C@y_,Merrie,Delp,MerrieDelp@ucmerced.edu,english
251,EdythBrian,#e=B=m#XFG5Aa%7Or%6+r,Edyth,Brian,EdythBrian@ucmerced.edu,civil engineering
252,DedePascia," A94s6I_NHfiP-Mx%okT",Dede,Pascia,DedePascia@ucmerced.edu,history
253,TierneyZamora,9es Vw+H,Tierney,Zamora,TierneyZamora@ucmerced.edu,bioengineering
254,KorrieTice,n1!!=aH5)%^=lEI-#-rRtr4Om!54n@,Korrie,Tice,KorrieTice@ucmerced.edu,philosophy
255,AsiaBethany,@ xOjhC_w 4aDAtF*LmT 3-1 @jk,Asia,Bethany,AsiaBethany@ucmerced.edu,global arts studies program
256,MichaelinaRuvolo,"J QhCEY+h7(Y=MWtLyRwJD ",Michaelina,Ruvolo,MichaelinaRuvolo@ucmerced.edu,global arts studies program
257,EmmeyDituri,FnwKqSU&F8%ch Q=u_Bli,Emmey,Dituri,EmmeyDituri@ucmerced.edu,environmental engineering
258,KathiJammal,P-bz0O#ybus@20O)uARL5ED!X+,Kathi,Jammal,KathiJammal@ucmerced.edu,critical race and ethnic studies
259,SusetteTimon,R8gpC SJ$)eHg7in=4O-VBR^&9EqPtW,Susette,Timon,SusetteTimon@ucmerced.edu,english
260,EvitaKendrick,4Azgm^E1*iWq!%VyGe8f6#X7H,Evita,Kendrick,EvitaKendrick@ucmerced.edu,sociology
261,AubrieStoller,WVrUq6%hkeV6,Aubrie,Stoller,AubrieStoller@ucmerced.edu,chemical sciences
262,BarbiAnestassia,CyO2vrS SX$ J7oPvYm V,Barbi,Anestassia,BarbiAnestassia@ucmerced.edu,biological sciences
263,AudrieCornelia,-^ )!JAh=FWzBZWG jBNJyteCQ3!,Audrie,Cornelia,AudrieCornelia@ucmerced.edu,philosophy
264,BlinniBlase,yZ-^)amVZHX5u,Blinni,Blase,BlinniBlase@ucmerced.edu,public health
265,GaleElephus,PnUl4PCdh&vjwZ-y,Gale,Elephus,GaleElephus@ucmerced.edu,philosophy
266,AlleenStanwood,!ZzQm3=6Z$#GORh* 9ZWhW,Alleen,Stanwood,AlleenStanwood@ucmerced.edu,political science
267,MalloryTamar,etuL5)j141) K5z953goROP64tf-,Mallory,Tamar,MalloryTamar@ucmerced.edu,public health
268,BettaMadaih,SLtMVL4X n116lPi@f$G( 6s*kg=,Betta,Madaih,BettaMadaih@ucmerced.edu,political science
269,JinnyMcCutcheon,f=*q3IWf,Jinny,McCutcheon,JinnyMcCutcheon@ucmerced.edu,spanish
270,KeeliaSchwejda,fu7=@X4IQap,Keelia,Schwejda,KeeliaSchwejda@ucmerced.edu,cognitive science
271,DianemarieJustinn,7oMnAoY5WsuG!RIU,Dianemarie,Justinn,DianemarieJustinn@ucmerced.edu,political science
272,BabitaLesley," 7PhcGFluIKC!P_ u#i&",Babita,Lesley,BabitaLesley@ucmerced.edu,biological sciences
273,OlivetteBaylor,uCoa2yw5bl=rqa,Olivette,Baylor,OlivetteBaylor@ucmerced.edu,history
274,AshleeMozelle,4 L=9I-Jt^,Ashlee,Mozelle,AshleeMozelle@ucmerced.edu,computer science and engineering
275,PaulitaGamaliel,0&^zxASS=,Paulita,Gamaliel,PaulitaGamaliel@ucmerced.edu,computer science and engineering
276,AlleenChick,trcIqQpl,Alleen,Chick,AlleenChick@ucmerced.edu,environmental systems science
277,PetroniaNedrud,jI&z89T1 ee  lrMSidF2CpK-E-29l),Petronia,Nedrud,PetroniaNedrud@ucmerced.edu,environmental engineering
278,ShaunaDestinee,#!H)nrVcPw#oAbrAl%6YNGLSaR@2e,Shauna,Destinee,ShaunaDestinee@ucmerced.edu,applied mathematical sciences
279,MartiFairweather,Dm6kbPBr6kUis+ P K,Marti,Fairweather,MartiFairweather@ucmerced.edu,bioengineering
280,PhilisOdell,xykkYEk sWqdm0gQgOX-0ash!w2dmhc,Philis,Odell,PhilisOdell@ucmerced.edu,biological sciences
281,DannyCyrie,uP5zHpt%   qvr79Pf,Danny,Cyrie,DannyCyrie@ucmerced.edu,computer science and engineering
282,SelmaSallyann,c mayVqUINujJx^K-P8f5FOKU+002qo,Selma,Sallyann,SelmaSallyann@ucmerced.edu,cognitive science
283,EdeeFirmin,GmMWM1sDo! $@)Rf_t g=JBzcqqu,Edee,Firmin,EdeeFirmin@ucmerced.edu,anthropology
284,ClaudinaElisha,Byh FYoZh,Claudina,Elisha,ClaudinaElisha@ucmerced.edu,political science
285,EthelCalhoun,rwkFpKi2b+HFB1STVZr3fZ,Ethel,Calhoun,EthelCalhoun@ucmerced.edu,anthropology
286,ReginaBeebe,OG#yiDP$,Regina,Beebe,ReginaBeebe@ucmerced.edu,applied mathematical sciences
287,StaceyBigner,"  7Ho y9 AZ-_SIU-uVl8@ ",Stacey,Bigner,StaceyBigner@ucmerced.edu,spanish
288,ReginaPelagias,HfOf01Dh#,Regina,Pelagias,ReginaPelagias@ucmerced.edu,computer science and engineering
289,NicoliKathie,xK_rzGVfZY5Z11v2CECvO^W mG( 6),Nicoli,Kathie,NicoliKathie@ucmerced.edu,psychology
290,MelinaDituri,6VHbU PMJeRS6y1 J_*=,Melina,Dituri,MelinaDituri@ucmerced.edu,psychology
291,AdelleSibyls,beW)c&QYIW9V--Cx o4,Adelle,Sibyls,AdelleSibyls@ucmerced.edu,chemical sciences
292,LusaEdison,9eV OZ1xeI iPhioL nelHHR,Lusa,Edison,LusaEdison@ucmerced.edu,environmental systems science
293,GerrieSabella,KzbiT%tcZ+rH8i&0f,Gerrie,Sabella,GerrieSabella@ucmerced.edu,critical race and ethnic studies
294,TamqrahRadu,lXW2M5teaVn8 gk,Tamqrah,Radu,TamqrahRadu@ucmerced.edu,public health
295,JudyFaso,eFG$V!hZ^sq+)+%h9 5u,Judy,Faso,JudyFaso@ucmerced.edu,cognitive science
296,JosephineO'Neill,@pF$@ysI1@#Uce+F,Josephine,O'Neill,JosephineO'Neill@ucmerced.edu,cognitive science
297,CharlenaLane,Bo0+%DnhZxiUwUGFmg(UOX-syQ4pr,Charlena,Lane,CharlenaLane@ucmerced.edu,philosophy
298,SaretteLory,yam*=gy8iG,Sarette,Lory,SaretteLory@ucmerced.edu,psychology
299,BettaTryck,uSW1FJ-3ypWeHYAl,Betta,Tryck,BettaTryck@ucmerced.edu,spanish
300,GilliganHonoria," vs6(DPDQD)+",Gilligan,Honoria,GilliganHonoria@ucmerced.edu,biological sciences
301,BarbaraRies,^Cw8HZ5!$P-Y4 1-p,Barbara,Ries,BarbaraRies@ucmerced.edu,management and business economics
302,TillyGrimbly,"qd6Chs@b ",Tilly,Grimbly,TillyGrimbly@ucmerced.edu,public health
303,HeidaZaslow,i 2O)2UEuh^DJTOe0EumwEk%,Heida,Zaslow,HeidaZaslow@ucmerced.edu,sociology
304,BarbaraVale,n% 9spcc(nC(v%)DC&qUD3,Barbara,Vale,BarbaraVale@ucmerced.edu,psychology
305,KatharinaBohlin,X(+V$I^4dB8vu(,Katharina,Bohlin,KatharinaBohlin@ucmerced.edu,psychology
306,DamarisHeidt,B0mH68N vKyTOUh^^,Damaris,Heidt,DamarisHeidt@ucmerced.edu,applied mathematical sciences
307,BritteIsacco,7D93X4K)#z F*6Sg8J##+rPLFm,Britte,Isacco,BritteIsacco@ucmerced.edu,spanish
308,FayreCatie,VpV7gNYUy,Fayre,Catie,FayreCatie@ucmerced.edu,applied mathematical sciences
309,MaudByrne,"Us^on&ctNJDss8k(5+)bz)K ",Maud,Byrne,MaudByrne@ucmerced.edu,political science
310,FideliaGamaliel,+O%LJHyYp_x5@BXSL&rKw&PT6t,Fidelia,Gamaliel,FideliaGamaliel@ucmerced.edu,sociology
311,OrsolaStefa,TqlTmw 2IaWhVCgq37 y9bjYliE,Orsola,Stefa,OrsolaStefa@ucmerced.edu,chemical sciences
312,KittieEvangelia," #3ALpnp",Kittie,Evangelia,KittieEvangelia@ucmerced.edu,anthropology
313,AerielaTrace,!Ns7FJmTeYy+T3e)^Q,Aeriela,Trace,AerielaTrace@ucmerced.edu,sociology
314,RobertaThilda,D=YZCuJ7BUZ,Roberta,Thilda,RobertaThilda@ucmerced.edu,applied mathematical sciences
315,ElieEdmund,2aLYVxHXUHFQuLV$@T3(s6Jg-8dh,Elie,Edmund,ElieEdmund@ucmerced.edu,cognitive science
316,ViviaRemmer,HGo96#ni0e9gEsQeOTvI,Vivia,Remmer,ViviaRemmer@ucmerced.edu,history
317,BillBrotherson,SCTiDx_Z!g0* 1-,Bill,Brotherson,BillBrotherson@ucmerced.edu,bioengineering
318,GinnieVharat,%&3J _f@kV1#4vODD8,Ginnie,Vharat,GinnieVharat@ucmerced.edu,bioengineering
319,RomonaGranoff,D8=JdqRYdWg-K1M$TGwPMQ,Romona,Granoff,RomonaGranoff@ucmerced.edu,bioengineering
320,NorineBehre,15wcewyW7iz@+,Norine,Behre,NorineBehre@ucmerced.edu,biological sciences
321,DeirdrePulsifer,#v sS5c(i)c$ZwqOT^a&^,Deirdre,Pulsifer,DeirdrePulsifer@ucmerced.edu,anthropology
322,MartiTrinetta,=NwzGSJmLEfP5dC,Marti,Trinetta,MartiTrinetta@ucmerced.edu,english
323,GildaMeli,7!%#&TCh5kgfksx-Nkl,Gilda,Meli,GildaMeli@ucmerced.edu,history
324,JocelineEmmy,QfWsGM0-caPM5CN3y ZGSm,Joceline,Emmy,JocelineEmmy@ucmerced.edu,environmental engineering
325,MireielleAshely,Lln ViT!L143^ztLGVP#-b$0ajLzOe,Mireielle,Ashely,MireielleAshely@ucmerced.edu,political science
326,LennaCarlson,t@c*FyR^t1o*iDYs$3gPxH-O8,Lenna,Carlson,LennaCarlson@ucmerced.edu,environmental engineering
327,DonnieKirbee,S5+_X^RLnE+Eba1,Donnie,Kirbee,DonnieKirbee@ucmerced.edu,biological sciences
328,LinetHonoria,CC17X9$m2-lk!U&)3hHHv&A7z=M2@PO-,Linet,Honoria,LinetHonoria@ucmerced.edu,biological sciences
329,KarinaEdison,M^ *b0RxKaJHFEO!Ry,Karina,Edison,KarinaEdison@ucmerced.edu,anthropology
330,PhylisClaudine,WpvIFcm6U=PIu,Phylis,Claudine,PhylisClaudine@ucmerced.edu,political science
331,ChristianLesley,A%&Q$ SjX3h39j*s-Kflng2Uh^RRLMq,Christian,Lesley,ChristianLesley@ucmerced.edu,materials sciences and engineering
332,KaylaNaor,15mk0ZpFID3qk*ps-fy,Kayla,Naor,KaylaNaor@ucmerced.edu,english
333,EthelThar,15hAE6U uk1kw^l=i0d4,Ethel,Thar,EthelThar@ucmerced.edu,spanish
334,TinaBrodench,a ^FMrOCb7j700jvwV,Tina,Brodench,TinaBrodench@ucmerced.edu,bioengineering
335,RubieZitvaa," 9bs- !v nxB",Rubie,Zitvaa,RubieZitvaa@ucmerced.edu,critical race and ethnic studies
336,Kara-LynnRolf,tLd(D*4BC9qDXk7s6j7g-zK,Kara-Lynn,Rolf,Kara-LynnRolf@ucmerced.edu,materials sciences and engineering
337,KaiaFillbert,S fnfporMUcQ-Ow)^=Sa$IL09#goEY,Kaia,Fillbert,KaiaFillbert@ucmerced.edu,anthropology
338,FeliceKhorma,c))fSOZZDNALaQQi(D=,Felice,Khorma,FeliceKhorma@ucmerced.edu,computer science and engineering
339,GildaButtaro,Ow@HjBE)FUrxz_wZY1+t=,Gilda,Buttaro,GildaButtaro@ucmerced.edu,critical race and ethnic studies
340,RickyChristine,d* L!Sq6EgC0S -04yt^FQz3+wV#-,Ricky,Christine,RickyChristine@ucmerced.edu,environmental engineering
341,ArlinaKinnard,7be%9 u2AO^bGoF-xUbFE,Arlina,Kinnard,ArlinaKinnard@ucmerced.edu,management and business economics
342,CorinaAgle,gecN 39qY9Rjt,Corina,Agle,CorinaAgle@ucmerced.edu,applied mathematical sciences
343,CarreeBarbey,a6Vt6@sbao-!uy6Gm878zhob_NG,Carree,Barbey,CarreeBarbey@ucmerced.edu,biological sciences
344,GustyLeifeste,l)cJV$al@HF6bK,Gusty,Leifeste,GustyLeifeste@ucmerced.edu,management and business economics
345,FannyBrandice,W_9! pRTbC!NOVHB$ME 3lA2o!,Fanny,Brandice,FannyBrandice@ucmerced.edu,materials sciences and engineering
346,KittieBivins,j*V LCnf6#Q,Kittie,Bivins,KittieBivins@ucmerced.edu,management and business economics
347,AltheaAmand,Ka3Y1#Sl09d=l$k@,Althea,Amand,AltheaAmand@ucmerced.edu,spanish
348,RivaleeRiordan,6RPV+1Vnt& Kb,Rivalee,Riordan,RivaleeRiordan@ucmerced.edu,environmental engineering
349,RaniWind,gSt^+kB9,Rani,Wind,RaniWind@ucmerced.edu,philosophy
350,FarrahHarned,7b^r+svO-v-12dNLh=i,Farrah,Harned,FarrahHarned@ucmerced.edu,environmental engineering
351,KristanLlovera,GA228k8G=wJMwx7DH mkl,Kristan,Llovera,KristanLlovera@ucmerced.edu,public health
352,ValeraGreyson,u^jpLwrvC )bDLnXgU*coF)A(0g,Valera,Greyson,ValeraGreyson@ucmerced.edu,materials sciences and engineering
353,KasseyBelldas,pTs^+l1ohsV5A(V@-zPKIdh4e*&m=T,Kassey,Belldas,KasseyBelldas@ucmerced.edu,cognitive science
354,TressaGahl,"m3l%#I@OI ",Tressa,Gahl,TressaGahl@ucmerced.edu,bioengineering
355,DaleJillane,XK*#Ya_L-NkWexWCx3kv,Dale,Jillane,DaleJillane@ucmerced.edu,sociology
356,ChristyMillda,(ktJV=#= 2 )Ixxe%s8pz@^YKxuvtQyy,Christy,Millda,ChristyMillda@ucmerced.edu,chemical sciences
357,BrenaHashim,nspYkoDJh#*koOBOf,Brena,Hashim,BrenaHashim@ucmerced.edu,political science
358,UrsulinaBelanger,$rBUI_43,Ursulina,Belanger,UrsulinaBelanger@ucmerced.edu,sociology
359,BeverleyBahr,g6tDtXGM kXWeo,Beverley,Bahr,BeverleyBahr@ucmerced.edu,philosophy
360,AlexineBevin,Y$&%fD1DTz*CysSFz_p  OZRUS1i@,Alexine,Bevin,AlexineBevin@ucmerced.edu,mechanical engineering
361,FelizaLeler,LgXq@J^jTX0eSu25SLc-6t(6o!HI,Feliza,Leler,FelizaLeler@ucmerced.edu,global arts studies program
362,EzmeraldaArdra,YpgT(W3=-iwHkOc5ydcN1e AI)%,Ezmeralda,Ardra,EzmeraldaArdra@ucmerced.edu,environmental systems science
363,JaimePoll,FFM#YKtSYsqHt!VQ,Jaime,Poll,JaimePoll@ucmerced.edu,biological sciences
364,JacentaGrobe,BO4 j#ISe=W7ohAM3X+q-ciy,Jacenta,Grobe,JacentaGrobe@ucmerced.edu,global arts studies program
365,RaniJacobah,2AMqX^@c3N3VQ_PalMaZ04,Rani,Jacobah,RaniJacobah@ucmerced.edu,environmental systems science
366,CherilynMatthew,DJJ-Swleh5y-j2QLy(W%AI=IIWRK*x+D,Cherilyn,Matthew,CherilynMatthew@ucmerced.edu,sociology
367,FideliaCosenza,-w_@j!i#0!@0$nxI +(G,Fidelia,Cosenza,FideliaCosenza@ucmerced.edu,environmental engineering
368,ModestiaHieronymus,aBy+zhLqv4s1JMK,Modestia,Hieronymus,ModestiaHieronymus@ucmerced.edu,biological sciences
369,GustyMagnolia,P#R ++K %VQ^cJDadzzB(k4pE=cUC,Gusty,Magnolia,GustyMagnolia@ucmerced.edu,civil engineering
370,LilyPersse,r6X12+g_eaOwJUczjBrTs#g2=kx9Wk b,Lily,Persse,LilyPersse@ucmerced.edu,environmental systems science
371,NonnahGombach,y*6+6_wW!WADu3leIdA@,Nonnah,Gombach,NonnahGombach@ucmerced.edu,applied mathematical sciences
372,AllisDawkins,W%eLr3x (%MkpZvE,Allis,Dawkins,AllisDawkins@ucmerced.edu,management and business economics
373,GlynnisZuzana,$YZ8kDC-Ru)MY%9E 2S+,Glynnis,Zuzana,GlynnisZuzana@ucmerced.edu,bioengineering
374,GabiAnastatius,*ZfYdiu6Cx&I#D_dH9X fq 4VLOGXX,Gabi,Anastatius,GabiAnastatius@ucmerced.edu,chemical sciences
375,NyssaMaisey,=e8qD8acSva %84u %FG5,Nyssa,Maisey,NyssaMaisey@ucmerced.edu,anthropology
376,SherrieStrephon,QK3(c*9PhAzNJBUrXEuN0F,Sherrie,Strephon,SherrieStrephon@ucmerced.edu,public health
377,GratiaDemitria,e7hu#R-!crJ1W6,Gratia,Demitria,GratiaDemitria@ucmerced.edu,english
378,ChandraVelick,"E8(aq&-wr ",Chandra,Velick,ChandraVelick@ucmerced.edu,political science
379,SusanLorain,QqGx*dwjQ$JT( 7,Susan,Lorain,SusanLorain@ucmerced.edu,civil engineering
380,BelvaConnelly,- 6&Gd@viS6lJF,Belva,Connelly,BelvaConnelly@ucmerced.edu,materials sciences and engineering
381,KellenZamora,d*s#6R*- F!vDn7H#Uv5K5)@&UwF,Kellen,Zamora,KellenZamora@ucmerced.edu,environmental systems science
382,HollieLorenz," WNl+ HK@w",Hollie,Lorenz,HollieLorenz@ucmerced.edu,biological sciences
383,RonnaLutero,- GX+!%$BHiikT&2(,Ronna,Lutero,RonnaLutero@ucmerced.edu,bioengineering
384,HelsaDeny,o5NcAC9D*fNQF#0bSP%uL,Helsa,Deny,HelsaDeny@ucmerced.edu,computer science and engineering
385,BlondellePaine,0TWzjqA3rG^IDt,Blondelle,Paine,BlondellePaine@ucmerced.edu,anthropology
386,TabbathaBashemeth,)lw$FUNWlPHYdSA+l,Tabbatha,Bashemeth,TabbathaBashemeth@ucmerced.edu,cognitive science
387,JordanElbertina,)H  _Fr2*GX! (byr3j=1UL^Qb)g,Jordan,Elbertina,JordanElbertina@ucmerced.edu,environmental engineering
388,FinaRaychel,z5ds$f3= bT,Fina,Raychel,FinaRaychel@ucmerced.edu,philosophy
389,LusaRoarke,=ohTQ21^J-)#k9,Lusa,Roarke,LusaRoarke@ucmerced.edu,computer science and engineering
390,TersinaO'Neill,aeHdAO 6,Tersina,O'Neill,TersinaO'Neill@ucmerced.edu,cognitive science
391,StarlaBarrus,F=Xvnwig%JW=Cu%v7Zay@^eq1uVI57Z,Starla,Barrus,StarlaBarrus@ucmerced.edu,psychology
392,LolitaSekofski,PYiNplF6N&,Lolita,Sekofski,LolitaSekofski@ucmerced.edu,chemical sciences
393,KellenAdrienne,"ltfHVR&uKcE(T!G tkjYYh!W*b4gDD2 ",Kellen,Adrienne,KellenAdrienne@ucmerced.edu,public health
394,AynInfield,YzNFF^Z_RN,Ayn,Infield,AynInfield@ucmerced.edu,sociology
395,AdrianaCarlson,yfG(aYzDR57N0OTS 8cNN&TA,Adriana,Carlson,AdrianaCarlson@ucmerced.edu,mechanical engineering
396,ErmengardeAuberbach,8DHzz!(aZP^m+l,Ermengarde,Auberbach,ErmengardeAuberbach@ucmerced.edu,chemical sciences
397,JuneShanley,Qn-W +wE8 Q6Edh)kiC#sDX)g+i,June,Shanley,JuneShanley@ucmerced.edu,philosophy
398,UrsulinaAlabaster,@Dna3)C%hOLlaGDTo!2FAOv*,Ursulina,Alabaster,UrsulinaAlabaster@ucmerced.edu,english
399,ArabelRugen,x!^%4!0+O79D- -4hLO(NdM(N$oq,Arabel,Rugen,ArabelRugen@ucmerced.edu,anthropology
400,JackieThilda,LW$hXsBuuCSah@5JA-Q!j*re,Jackie,Thilda,JackieThilda@ucmerced.edu,public health
401,BeatrizShanley,vYwy7MxSHnmWG2pj+j(9!vxA,Beatriz,Shanley,BeatrizShanley@ucmerced.edu,global arts studies program
402,AlbertinaLudewig,OeNRK  jfhB kj$74TL2yHJ,Albertina,Ludewig,AlbertinaLudewig@ucmerced.edu,critical race and ethnic studies
403,TrudieWyn,k#1rD0HQy*St7I2wVx,Trudie,Wyn,TrudieWyn@ucmerced.edu,anthropology
404,PhedraOchs,+p6PCGO8u%QAN iBFZhQ9t E0yMpaH,Phedra,Ochs,PhedraOchs@ucmerced.edu,applied mathematical sciences
405,ElenaMelleta,iTKL2ML+wWOYad7&hvpw,Elena,Melleta,ElenaMelleta@ucmerced.edu,critical race and ethnic studies
406,MadyKarylin,Y#MkY6vGT$t1!6wod9d%jgUaH&,Mady,Karylin,MadyKarylin@ucmerced.edu,psychology
407,LarineDex,VPp2wOyFfC5 96CXg,Larine,Dex,LarineDex@ucmerced.edu,environmental systems science
408,BasiaStanwood,1U8Ww QDqQia_c-Rv0+Ig#jic-8C,Basia,Stanwood,BasiaStanwood@ucmerced.edu,materials sciences and engineering
409,MolliVerger,Omi8^21V g@74nF C7 ^i,Molli,Verger,MolliVerger@ucmerced.edu,environmental systems science
410,OonaDorothy,zWrcDAlx=gHK**$ryXp(Yj+,Oona,Dorothy,OonaDorothy@ucmerced.edu,biological sciences
411,JuneJanith,"0JNns#Y^um 0HkX$I ",June,Janith,JuneJanith@ucmerced.edu,cognitive science
412,PhedraWattenberg,mf(f+temxh8hmlR$vQrWlIe,Phedra,Wattenberg,PhedraWattenberg@ucmerced.edu,political science
413,SheelaghCharity,mDh^KJOY_ zZlDSHc&2Jb,Sheelagh,Charity,SheelaghCharity@ucmerced.edu,global arts studies program
414,AlieTyson,$FrbgUr6XDnv,Alie,Tyson,AlieTyson@ucmerced.edu,applied mathematical sciences
415,IvettCecile,yYMUZ@M*k4xm)1a2Z60FTzkUPMjT,Ivett,Cecile,IvettCecile@ucmerced.edu,mechanical engineering
416,FlorenciaNorrie,"%TPvs!CQvmIX0bF4 ",Florencia,Norrie,FlorenciaNorrie@ucmerced.edu,environmental systems science
417,LivvyyMarden,s-^ 6oeZN(nhs(_I3lCwrr69,Livvyy,Marden,LivvyyMarden@ucmerced.edu,biological sciences
418,AerielaMy,Bisw V9MhSuZ8N,Aeriela,My,AerielaMy@ucmerced.edu,environmental systems science
419,DottyThilda,MsN-v%ZkjcUZfb$cajwI7w #M0C_It,Dotty,Thilda,DottyThilda@ucmerced.edu,english
420,KateEsmaria,M+Q*QQ#8J 7cB50Fcs%&1S,Kate,Esmaria,KateEsmaria@ucmerced.edu,applied mathematical sciences
421,WinnyBennie,3Ups4V#KMh v8=rR,Winny,Bennie,WinnyBennie@ucmerced.edu,cognitive science
422,LexineElsinore,EqOgTDqmEg14KWgPlDk-!JQaP=IFoX-F,Lexine,Elsinore,LexineElsinore@ucmerced.edu,political science
423,WynneStelle,pcxk+Ql*Hn4eiHL$y,Wynne,Stelle,WynneStelle@ucmerced.edu,history
424,VerlaUrania,Bm *lwfls%Bn2@p$  )q95 *5Dj_,Verla,Urania,VerlaUrania@ucmerced.edu,mechanical engineering
425,SilvanaOvid,Q)X40Fpgh W v@f+,Silvana,Ovid,SilvanaOvid@ucmerced.edu,public health
426,Sara-AnnRaseda,Gpo_c#Pv8sjDo3Kk( )_UtLVNitp6,Sara-Ann,Raseda,Sara-AnnRaseda@ucmerced.edu,cognitive science
427,TaffyCullin," g#zstpuh Z",Taffy,Cullin,TaffyCullin@ucmerced.edu,materials sciences and engineering
428,JoellyChapland,ai(VO&$&jSGe0dEJcdw,Joelly,Chapland,JoellyChapland@ucmerced.edu,anthropology
429,SadieLenny,Tk!sNfbRR1dn,Sadie,Lenny,SadieLenny@ucmerced.edu,chemical sciences
430,JoleenWenoa,3vF3(v5PlLbA%V,Joleen,Wenoa,JoleenWenoa@ucmerced.edu,cognitive science
431,ZariaGino,IrkxDhcy-E6%l&4yV9F6Jw,Zaria,Gino,ZariaGino@ucmerced.edu,mechanical engineering
432,KatleenBerard,Q)Q %JEWdvdLS4kMmlUC@P3aLz!b_5CO,Katleen,Berard,KatleenBerard@ucmerced.edu,computer science and engineering
433,EloraLeary,8jrA@4JIDHp^bO2MfDzWnhgE@rN#N8x9,Elora,Leary,EloraLeary@ucmerced.edu,chemical sciences
434,MichelineArdra,zyY= 3a*ohcIJhRI06(cA0yzd,Micheline,Ardra,MichelineArdra@ucmerced.edu,anthropology
435,JacquettaLudewig,0fB4tB-6Of!&R1*B )yLA)5f gX,Jacquetta,Ludewig,JacquettaLudewig@ucmerced.edu,sociology
